availability,year,url,zip,shp,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize,detail1,detail2
宮城県,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_04_GML.zip,A19s-00_04_GML.zip,A19s_12_02_04.shp,,,,,,,,,CP932,,4612,,都市基盤1,
宮城県,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_04_GML.zip,A19s-00_04_GML.zip,A19s_12_03_04.shp,,,,,,,,,CP932,,4612,,都市基盤2,
宮城県,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_04_GML.zip,A19s-00_04_GML.zip,A19s_12_04_04.shp,,,,,,,,,CP932,,4612,,産業,
宮城県,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_04_GML.zip,A19s-95_04_GML.zip,A19s_07_01_04.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
宮城県,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_04_GML.zip,A19s-95_04_GML.zip,A19s_07_02_04.shp,,,,,,,,,CP932,,4612,,都市基盤1,
宮城県,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_04_GML.zip,A19s-95_04_GML.zip,A19s_07_03_04.shp,,,,,,,,,CP932,,4612,,都市基盤2,
宮城県,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_04_GML.zip,A19s-95_04_GML.zip,A19s_07_04_04.shp,,,,,,,,,CP932,,4612,,産業,
山形県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_06_GML.zip,A19s-10_06_GML.zip,A19s_22_01_06.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
山形県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_06_GML.zip,A19s-10_06_GML.zip,A19s_22_02_06.shp,,,,,,,,,CP932,,4612,,都市基盤1,
山形県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_06_GML.zip,A19s-10_06_GML.zip,A19s_22_03_06.shp,,,,,,,,,CP932,,4612,,都市基盤2,
山形県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_06_GML.zip,A19s-10_06_GML.zip,A19s_22_04_06.shp,,,,,,,,,CP932,,4612,,産業,
山形県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_06_GML.zip,A19s-05_06_GML.zip,A19s_17_01_06.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
山形県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_06_GML.zip,A19s-05_06_GML.zip,A19s_17_02_06.shp,,,,,,,,,CP932,,4612,,都市基盤1,
山形県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_06_GML.zip,A19s-05_06_GML.zip,A19s_17_03_06.shp,,,,,,,,,CP932,,4612,,都市基盤2,
山形県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_06_GML.zip,A19s-05_06_GML.zip,A19s_17_04_06.shp,,,,,,,,,CP932,,4612,,産業,
山形県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_06_GML.zip,A19s-00_06_GML.zip,A19s_12_01_06.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
山形県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_06_GML.zip,A19s-00_06_GML.zip,A19s_12_02_06.shp,,,,,,,,,CP932,,4612,,都市基盤1,
山形県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_06_GML.zip,A19s-00_06_GML.zip,A19s_12_03_06.shp,,,,,,,,,CP932,,4612,,都市基盤2,
山形県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_06_GML.zip,A19s-00_06_GML.zip,A19s_12_04_06.shp,,,,,,,,,CP932,,4612,,産業,
山形県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_06_GML.zip,A19s-95_06_GML.zip,A19s_07_01_06.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
山形県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_06_GML.zip,A19s-95_06_GML.zip,A19s_07_02_06.shp,,,,,,,,,CP932,,4612,,都市基盤1,
山形県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_06_GML.zip,A19s-95_06_GML.zip,A19s_07_03_06.shp,,,,,,,,,CP932,,4612,,都市基盤2,
山形県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_06_GML.zip,A19s-95_06_GML.zip,A19s_07_04_06.shp,,,,,,,,,CP932,,4612,,産業,
東京都,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_13_GML.zip,A19s-10_13_GML.zip,A19s_22_01_13.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
東京都,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_13_GML.zip,A19s-10_13_GML.zip,A19s_22_02_13.shp,,,,,,,,,CP932,,4612,,都市基盤1,
東京都,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_13_GML.zip,A19s-10_13_GML.zip,A19s_22_03_13.shp,,,,,,,,,CP932,,4612,,都市基盤2,
東京都,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_13_GML.zip,A19s-10_13_GML.zip,A19s_22_04_13.shp,,,,,,,,,CP932,,4612,,産業,
東京都,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_13_GML.zip,A19s-05_13_GML.zip,A19s_17_01_13.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
東京都,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_13_GML.zip,A19s-05_13_GML.zip,A19s_17_02_13.shp,,,,,,,,,CP932,,4612,,都市基盤1,
東京都,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_13_GML.zip,A19s-05_13_GML.zip,A19s_17_03_13.shp,,,,,,,,,CP932,,4612,,都市基盤2,
東京都,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_13_GML.zip,A19s-05_13_GML.zip,A19s_17_04_13.shp,,,,,,,,,CP932,,4612,,産業,
東京都,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_13_GML.zip,A19s-00_13_GML.zip,A19s_12_01_13.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
東京都,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_13_GML.zip,A19s-00_13_GML.zip,A19s_12_02_13.shp,,,,,,,,,CP932,,4612,,都市基盤1,
東京都,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_13_GML.zip,A19s-00_13_GML.zip,A19s_12_03_13.shp,,,,,,,,,CP932,,4612,,都市基盤2,
東京都,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_13_GML.zip,A19s-00_13_GML.zip,A19s_12_04_13.shp,,,,,,,,,CP932,,4612,,産業,
東京都,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_13_GML.zip,A19s-95_13_GML.zip,A19s_07_01_13.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
東京都,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_13_GML.zip,A19s-95_13_GML.zip,A19s_07_02_13.shp,,,,,,,,,CP932,,4612,,都市基盤1,
東京都,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_13_GML.zip,A19s-95_13_GML.zip,A19s_07_03_13.shp,,,,,,,,,CP932,,4612,,都市基盤2,
東京都,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_13_GML.zip,A19s-95_13_GML.zip,A19s_07_04_13.shp,,,,,,,,,CP932,,4612,,産業,
新潟県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_15_GML.zip,A19s-10_15_GML.zip,A19s_22_01_15.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
新潟県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_15_GML.zip,A19s-10_15_GML.zip,A19s_22_02_15.shp,,,,,,,,,CP932,,4612,,都市基盤1,
新潟県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_15_GML.zip,A19s-10_15_GML.zip,A19s_22_03_15.shp,,,,,,,,,CP932,,4612,,都市基盤2,
新潟県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_15_GML.zip,A19s-10_15_GML.zip,A19s_22_04_15.shp,,,,,,,,,CP932,,4612,,産業,
新潟県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_15_GML.zip,A19s-05_15_GML.zip,A19s_17_01_15.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
新潟県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_15_GML.zip,A19s-05_15_GML.zip,A19s_17_02_15.shp,,,,,,,,,CP932,,4612,,都市基盤1,
新潟県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_15_GML.zip,A19s-05_15_GML.zip,A19s_17_03_15.shp,,,,,,,,,CP932,,4612,,都市基盤2,
新潟県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_15_GML.zip,A19s-05_15_GML.zip,A19s_17_04_15.shp,,,,,,,,,CP932,,4612,,産業,
新潟県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_15_GML.zip,A19s-00_15_GML.zip,A19s_12_01_15.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
新潟県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_15_GML.zip,A19s-00_15_GML.zip,A19s_12_02_15.shp,,,,,,,,,CP932,,4612,,都市基盤1,
新潟県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_15_GML.zip,A19s-00_15_GML.zip,A19s_12_03_15.shp,,,,,,,,,CP932,,4612,,都市基盤2,
新潟県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_15_GML.zip,A19s-00_15_GML.zip,A19s_12_04_15.shp,,,,,,,,,CP932,,4612,,産業,
新潟県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_15_GML.zip,A19s-95_15_GML.zip,A19s_07_01_15.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
新潟県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_15_GML.zip,A19s-95_15_GML.zip,A19s_07_02_15.shp,,,,,,,,,CP932,,4612,,都市基盤1,
新潟県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_15_GML.zip,A19s-95_15_GML.zip,A19s_07_03_15.shp,,,,,,,,,CP932,,4612,,都市基盤2,
新潟県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_15_GML.zip,A19s-95_15_GML.zip,A19s_07_04_15.shp,,,,,,,,,CP932,,4612,,産業,
石川県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_17_GML.zip,A19s-10_17_GML.zip,A19s_22_01_17.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
石川県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_17_GML.zip,A19s-10_17_GML.zip,A19s_22_02_17.shp,,,,,,,,,CP932,,4612,,都市基盤1,
石川県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_17_GML.zip,A19s-10_17_GML.zip,A19s_22_03_17.shp,,,,,,,,,CP932,,4612,,都市基盤2,
石川県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_17_GML.zip,A19s-10_17_GML.zip,A19s_22_04_17.shp,,,,,,,,,CP932,,4612,,産業,
石川県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_17_GML.zip,A19s-05_17_GML.zip,A19s_17_01_17.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
石川県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_17_GML.zip,A19s-05_17_GML.zip,A19s_17_02_17.shp,,,,,,,,,CP932,,4612,,都市基盤1,
石川県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_17_GML.zip,A19s-05_17_GML.zip,A19s_17_03_17.shp,,,,,,,,,CP932,,4612,,都市基盤2,
石川県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_17_GML.zip,A19s-05_17_GML.zip,A19s_17_04_17.shp,,,,,,,,,CP932,,4612,,産業,
石川県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_17_GML.zip,A19s-00_17_GML.zip,A19s_12_01_17.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
石川県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_17_GML.zip,A19s-00_17_GML.zip,A19s_12_02_17.shp,,,,,,,,,CP932,,4612,,都市基盤1,
石川県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_17_GML.zip,A19s-00_17_GML.zip,A19s_12_03_17.shp,,,,,,,,,CP932,,4612,,都市基盤2,
石川県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_17_GML.zip,A19s-00_17_GML.zip,A19s_12_04_17.shp,,,,,,,,,CP932,,4612,,産業,
