name_j,availability,code_map,type_muni,name_e,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg
燃料給油所,yes,P07,,,2015,https://nlftp.mlit.go.jp/ksj/gml/data/P07/P07-15/P07-15_code_pref_GML.zip,P07-15_code_pref_GML.zip,P07-15_code_pref.shp,,P07-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P07-2016.html,,,,,,,CP932,,6668
ニュータウン,yes,P26,,,2013,https://nlftp.mlit.go.jp/ksj/gml/data/P26/P26-13/P26-13_code_pref.zip,P26-13_code_pref.zip,P26-13_code_pref.shp,,P26-13_code_pref,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P26.html,,,,,,,CP932,,4612
工業用地（工業団地）,yes,L05,,Industrial Complex,2009,https://nlftp.mlit.go.jp/ksj/gml/data/L05/L05-09/L05-1-09_code_pref_GML.zip,L05-1-09_code_pref_GML.zip,L05-1-09_code_pref-g_IndustrialComplex.shp,,L05-1-09_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L05.html,,,,,,,CP932,,4612
工業用地（単独工場用地）,yes,L05,,Isolated Industrial Site,2009,https://nlftp.mlit.go.jp/ksj/gml/data/L05/L05-09/L05-2-09_code_pref_GML.zip,L05-2-09_code_pref_GML.zip,L05-2-09_code_pref-g_IsolatedIndustrialSite.shp,,L05-2-09_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L05.html,,,,,,,CP932,,4612
研究機関,yes,P16,,,2012,https://nlftp.mlit.go.jp/ksj/gml/data/P16/P16-12/P16-12_code_pref_GML.zip,P16-12_code_pref_GML.zip,P16-12_code_pref.shp,,P16-12_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P16.html,,,,,,,CP932,,4612
地場産業関連施設,yes,P24,single,,2012,https://nlftp.mlit.go.jp/ksj/gml/data/P24/P24-12/P24-12_GML.zip,P24-12_GML.zip,P24-12.shp,,P24-12_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P24.html,,,,,,,CP932,,4612
物流拠点,yes,P31,,,2013,https://nlftp.mlit.go.jp/ksj/gml/data/P31/P31-13/P31-13_code_pref.zip,P31-13_code_pref.zip,P31-13_code_pref_e.shp,,P31-13_code_pref,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P31.html,,,,,,,CP932,,4612
集客施設,yes,P33,,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/P33/P33-14/P33-14_code_pref_GML.zip,P33-14_code_pref_GML.zip,P33-14_code_pref.shp,,P33-14_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P33.html,,,,,,,CP932,,4612
道の駅,yes,P35,single,Roadside Station,2018,https://nlftp.mlit.go.jp/ksj/gml/data/P35/P35-18/P35-18_GML.zip,P35-18_GML.zip,P35-18_Roadside_Station.shp,,P35-18_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P35.html,,,,,,,CP932,,6668
【地域資源・観光】,,,,,,,,,,,,,,,,,,,,
都道府県指定文化財（ポイント）,yes,P32,,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/P32/P32-14/P32-14_code_pref_GML.zip,P32-14_code_pref_GML.zip,P32-14_code_pref.shp,,P32-14_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P32.html,,,,,,,CP932,,4612
世界文化遺産（ポリゴン）,yes,A34,single,,2022,https://nlftp.mlit.go.jp/ksj/gml/data/A34/A34-22/A34-230328_GML.zip,A34-230328_GML.zip,A34a-230328.shp,,A34-230328_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A34-2022.html,,,,,,,CP932,,6668
世界文化遺産（ポリゴン代表点）,yes,A34,single,,2022,https://nlftp.mlit.go.jp/ksj/gml/data/A34/A34-22/A34-230328_GML.zip,A34-230328_GML.zip,A34b-230328.shp,,A34-230328_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A34-2022.html,,,,,,,CP932,,6668
世界文化遺産（ライン）,yes,A34,single,,2022,https://nlftp.mlit.go.jp/ksj/gml/data/A34/A34-22/A34-230328_GML.zip,A34-230328_GML.zip,A34c-230328.shp,,A34-230328_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A34-2022.html,,,,,,,CP932,,6668
世界文化遺産（ライン代表点）,yes,A34,single,,2022,https://nlftp.mlit.go.jp/ksj/gml/data/A34/A34-22/A34-230328_GML.zip,A34-230328_GML.zip,A34d-230328.shp,,A34-230328_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A34-2022.html,,,,,,,CP932,,6668
世界文化遺産（e）,yes,A34,single,,2022,https://nlftp.mlit.go.jp/ksj/gml/data/A34/A34-22/A34-230328_GML.zip,A34-230328_GML.zip,A34e-230328.shp,,A34-230328_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A34-2022.html,,,,,,,CP932,,6668
世界文化遺産（緩衝地帯）,yes,A34,single,,2022,https://nlftp.mlit.go.jp/ksj/gml/data/A34/A34-22/A34-230328_GML.zip,A34-230328_GML.zip,A34f-230328.shp,,A34-230328_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A34-2022.html,,,,,,,CP932,,6668
世界文化遺産（緩衝地帯代表点）,yes,A34,single,,2022,https://nlftp.mlit.go.jp/ksj/gml/data/A34/A34-22/A34-230328_GML.zip,A34-230328_GML.zip,A34g-230328.shp,,A34-230328_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A34-2022.html,,,,,,,CP932,,6668
世界自然遺産,yes,A28,single,World Natural Heritage,2022,https://nlftp.mlit.go.jp/ksj/gml/data/A28/A28-22/A28-22_GML.zip,A28-22_GML.zip,A28-22_WorldNaturalHeritage.shp,,A28-22_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A28.html,,,,,,,CP932,,4612
観光資源（点）,yes,P12,,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/P12/P12-14/P12-14_code_pref_GML.zip,P12-14_code_pref_GML.zip,P12a-14_code_pref.shp,,P12-14_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P12-2014.html,,,,,,,CP932,,6668
観光資源（線）,yes,P12,,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/P12/P12-14/P12-14_code_pref_GML.zip,P12-14_code_pref_GML.zip,P12b-14_code_pref.shp,,P12-14_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P12-2014.html,,,,,,,CP932,,6668
観光資源（面）,yes,P12,,,2014,https://nlftp.mlit.go.jp/ksj/gml/data/P12/P12-14/P12-14_code_pref_GML.zip,P12-14_code_pref_GML.zip,P12c-14_code_pref.shp,,P12-14_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P12-2014.html,,,,,,,CP932,,6668
宿泊容量メッシュ,,P09,mesh,,,,,,,,,,,,,,,,,
地域資源,yes,P19,,,2012,https://nlftp.mlit.go.jp/ksj/gml/data/P19/P19-12/P19-12_code_pref_GML.zip,P19-12_code_pref_GML.zip,,,P19-12_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P19.html,,,,,,,CP932,,4612
【保護保全】,,,,,,,,,,,,,,,,,,,,
自然公園地域（自然公園地域）,yes,A10,,,2015,https://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-15/A10-15_code_pref_GML.zip,A10-15_code_pref_GML.zip,a001code_pref0020160211.shp,,A10-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A10-2015.html,,,,,,,CP932,A10-11.qml,4612
自然公園地域（特別地域）,yes,A10,,,2015,https://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-15/A10-15_code_pref_GML.zip,A10-15_code_pref_GML.zip,a001code_pref0020160212.shp,,A10-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A10-2015.html,,,,,,,CP932,A10-12.qml,4612
自然公園地域（特別保護地区）,yes,A10,,,2015,https://nlftp.mlit.go.jp/ksj/gml/data/A10/A10-15/A10-15_code_pref_GML.zip,A10-15_code_pref_GML.zip,a001code_pref0020160213.shp,,A10-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A10-2015.html,,,,,,,CP932,A10-13.qml,4612
自然保全地域（自然保全地域）,yes,A11,,,2015,https://nlftp.mlit.go.jp/ksj/gml/data/A11/A11-15/A11-15_code_pref_GML.zip,A11-15_code_pref_GML.zip,a001code_pref0020160214.shp,,A11-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A11.html,,,,,,,CP932,A11-14.qml,4612
