name_j,code_map,name_e,year,url,zip,shp,altdir,qml
認知症対応型通所介護,LTCI_720,Dementia Day Care,2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_720.csv,jigyosho_720.csv,jigyosho_720.csv,,
小規模多機能型居宅介護,LTCI_730,Multifunctional Small Group Home Care,2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_730.csv,jigyosho_730.csv,jigyosho_730.csv,,
定期巡回・随時対応型訪問介護看護,LTCI_760,Regular Patrol and On-Demand Home Care and Nursing,2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_760.csv,jigyosho_760.csv,jigyosho_760.csv,,
看護小規模多機能型居宅介護,LTCI_770,Nursing Multifunctional Small Group Home Care,2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_770.csv,jigyosho_770.csv,jigyosho_770.csv,,
地域密着型通所介護,LTCI_780,Community-Based Day Care,2025年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_780.csv,jigyosho_780.csv,jigyosho_780.csv,,
訪問介護,LTCI_110,Home-Visit Care,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528432.csv,001528432.csv,001528432.csv,,
訪問入浴介護,LTCI_120,Home-Visit Bathing Care,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528434.csv,001528434.csv,001528434.csv,,
訪問看護,LTCI_130,Home-Visit Nursing,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528435.csv,001528435.csv,001528435.csv,,
訪問リハビリテーション,LTCI_140,Home-Visit Rehabilitation,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528436.csv,001528436.csv,001528436.csv,,
通所介護,LTCI_150,Day Care,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528441.csv,001528441.csv,001528441.csv,,
通所介護（療養通所介護）,LTCI_155,Medical Day Care,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528445.csv,001528445.csv,001528445.csv,,
通所リハビリテーション,LTCI_160,Day Rehabilitation,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528446.csv,001528446.csv,001528446.csv,,
福祉用具貸与,LTCI_170,Welfare Equipment Rental,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528448.csv,001528448.csv,001528448.csv,,
短期入所生活介護,LTCI_210,Short-Stay Residential Care,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528452.csv,001528452.csv,001528452.csv,,
短期入所療養介護（介護老人保健施設）,LTCI_220,Short-Stay Medical Care (Geriatric Health Services Facility),2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528453.csv,001528453.csv,001528453.csv,,
短期入所療養介護（療養病床を有する病院等）,LTCI_230,Short-Stay Medical Care (Hospital with Long-Term Care Beds),2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001532686.csv,001532686.csv,001532686.csv,,
短期入所療養介護（介護医療院）,LTCI_551,Short-Stay Medical Care (Integrated Facility for Medical and Long-Term Care),2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528478.csv,001528478.csv,001528478.csv,,
認知症対応型共同生活介護,LTCI_320,Group Home for Persons with Dementia,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528480.csv,001528480.csv,001528480.csv,,
特定施設入居者生活介護（有料老人ホーム）,LTCI_331,Residential Care in Fee-Based Nursing Home,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528481.csv,001528481.csv,001528481.csv,,
特定施設入居者生活介護（軽費老人ホーム）,LTCI_332,Residential Care in Low-Cost Elderly Home,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528482.csv,001528482.csv,001528482.csv,,
特定施設入居者生活介護（サービス付き高齢者向け住宅）,LTCI_334,Residential Care in Service-Integrated Housing for Older Persons,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528483.csv,001528483.csv,001528483.csv,,
特定施設入居者生活介護（有料老人ホーム・外部サービス利用型）,LTCI_335,Residential Care in Fee-Based Nursing Home (External Service Type),2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528484.csv,001528484.csv,001528484.csv,,
特定施設入居者生活介護（軽費老人ホーム・外部サービス利用型）,LTCI_336,Residential Care in Low-Cost Elderly Home (External Service Type),2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528486.csv,001528486.csv,001528486.csv,,
特定施設入居者生活介護（サービス付き高齢者向け住宅・外部サービス利用型）,LTCI_337,Residential Care in Service-Integrated Housing for Older Persons (External Service Type),2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528488.csv,001528488.csv,001528488.csv,,
地域密着型特定施設入居者生活介護（有料老人ホーム）,LTCI_361,Community-Based Residential Care in Fee-Based Nursing Home,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528489.csv,001528489.csv,001528489.csv,,
地域密着型特定施設入居者生活介護（軽費老人ホーム）,LTCI_362,Community-Based Residential Care in Low-Cost Elderly Home,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528493.csv,001528493.csv,001528493.csv,,
地域密着型特定施設入居者生活介護（サービス付き高齢者向け住宅）,LTCI_364,Community-Based Residential Care in Service-Integrated Housing for Older Persons,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528494.csv,001528494.csv,001528494.csv,,
特定福祉用具販売,LTCI_410,Sales of Specified Welfare Equipment,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528495.csv,001528495.csv,001528495.csv,,
居宅介護支援,LTCI_430,Care Management,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528496.csv,001528496.csv,001528496.csv,,
介護老人福祉施設,LTCI_510,Special Nursing Home for the Elderly,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528497.csv,001528497.csv,001528497.csv,,
介護老人保健施設,LTCI_520,Geriatric Health Services Facility,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528498.csv,001528498.csv,001528498.csv,,
介護療養型医療施設,LTCI_530,Long-Term Care Medical Facility,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528499.csv,001528499.csv,001528499.csv,,
地域密着型介護老人福祉施設入所者生活介護,LTCI_540,Community-Based Special Nursing Home Care,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528500.csv,001528500.csv,001528500.csv,,
介護医療院,LTCI_550,Integrated Facility for Medical and Long-Term Care,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528509.csv,001528509.csv,001528509.csv,,
夜間対応型訪問介護,LTCI_710,Night-Time Home-Visit Care,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528512.csv,001528512.csv,001528512.csv,,
認知症対応型通所介護,LTCI_720,Dementia Day Care,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528513.csv,001528513.csv,001528513.csv,,
小規模多機能型居宅介護,LTCI_730,Multifunctional Small Group Home Care,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528517.csv,001528517.csv,001528517.csv,,
定期巡回・随時対応型訪問介護看護,LTCI_760,Regular Patrol and On-Demand Home Care and Nursing,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528519.csv,001528519.csv,001528519.csv,,
看護小規模多機能型居宅介護,LTCI_770,Nursing Multifunctional Small Group Home Care,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528520.csv,001528520.csv,001528520.csv,,
地域密着型通所介護,LTCI_780,Community-Based Day Care,2025年６月末時点,https://www.mhlw.go.jp/content/12300000/001528523.csv,001528523.csv,001528523.csv,,
訪問介護,LTCI_110,Home-Visit Care,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_110_all_20250106192454.csv,jigyosho_110_all_20250106192454.csv,jigyosho_110_all_20250106192454.csv,,
訪問入浴介護,LTCI_120,Home-Visit Bathing Care,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_120_all_20250106192458.csv,jigyosho_120_all_20250106192458.csv,jigyosho_120_all_20250106192458.csv,,
訪問看護,LTCI_130,Home-Visit Nursing,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_130_all_20250106192515.csv,jigyosho_130_all_20250106192515.csv,jigyosho_130_all_20250106192515.csv,,
