name_j,availability,code_map,type_muni,name_e,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize
豪雪地帯,北海道,A22,,Heavy Snowfall Area,2016,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-16/A22-16_01_GML.zip,A22-16_01_GML.zip,A22-16_01.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2016.html,,,,,,,CP932,A22-2016.qml,6668,32.56MB 
豪雪地帯,北海道,A22,,Heavy Snowfall Area,2007,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-07/A22-070402_01_GML.zip,A22-070402_01_GML.zip,A22-070402_01_HeavySnowfallArea.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2007.html,,,,,,,CP932,,4612,24.49MB 
豪雪地帯,北海道,A22,,Heavy Snowfall Area,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-05/A22-051001_01_GML.zip,A22-051001_01_GML.zip,A22-051001_01_HeavySnowfallArea.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2007.html,,,,,,,CP932,,4612,24.49MB 
豪雪地帯,北海道,A22,,Heavy Snowfall Area,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-00/A22-001001_01_GML.zip,A22-001001_01_GML.zip,A22-001001_01_HeavySnowfallArea.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2007.html,,,,,,,CP932,,4612,24.49MB 
豪雪地帯,北海道,A22,,Heavy Snowfall Area,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-95/A22-951001_01_GML.zip,A22-951001_01_GML.zip,A22-951001_01_HeavySnowfallArea.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2007.html,,,,,,,CP932,,4612,24.49MB 
豪雪地帯,北海道,A22,,Heavy Snowfall Area,1990,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-90/A22-901001_01_GML.zip,A22-901001_01_GML.zip,A22-901001_01_HeavySnowfallArea.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2007.html,,,,,,,CP932,,4612,24.49MB 
豪雪地帯,北海道,A22,,Heavy Snowfall Area,1985,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-85/A22-851001_01_GML.zip,A22-851001_01_GML.zip,A22-851001_01_HeavySnowfallArea.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2007.html,,,,,,,CP932,,4612,24.49MB 
豪雪地帯,北海道,A22,,Heavy Snowfall Area,1980,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-80/A22-801001_01_GML.zip,A22-801001_01_GML.zip,A22-801001_01_HeavySnowfallArea.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2007.html,,,,,,,CP932,,4612,24.49MB 
豪雪地帯,北海道,A22,,Heavy Snowfall Area,1975,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-75/A22-751001_01_GML.zip,A22-751001_01_GML.zip,A22-751001_01_HeavySnowfallArea.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2007.html,,,,,,,CP932,,4612,24.50MB 
豪雪地帯,北海道,A22,,Heavy Snowfall Area,1970,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-70/A22-701001_01_GML.zip,A22-701001_01_GML.zip,A22-701001_01_HeavySnowfallArea.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2007.html,,,,,,,CP932,,4612,24.54MB 
豪雪地帯,北海道,A22,,Heavy Snowfall Area,1965,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-65/A22-651001_01_GML.zip,A22-651001_01_GML.zip,A22-651001_01_HeavySnowfallArea.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2007.html,,,,,,,CP932,,4612,24.54MB 
豪雪地帯,北海道,A22,,Heavy Snowfall Area,1963,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-63/A22-631101_01_GML.zip,A22-631101_01_GML.zip,A22-631101_01_HeavySnowfallArea.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2007.html,,,,,,,CP932,A22-2016.qml,4612,24.54MB 
豪雪地帯,青森,A22,,Heavy Snowfall Area,2016,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-16/A22-16_02_GML.zip,A22-16_02_GML.zip,A22-16_02.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2016.html,,,,,,,CP932,A22-2016.qml,6668,6.25MB 
豪雪地帯,青森,A22,,Heavy Snowfall Area,2007,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-07/A22-070402_02_GML.zip,A22-070402_02_GML.zip,A22-070402_02_HeavySnowfallArea.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2007.html,,,,,,,CP932,,4612,4.67MB 
豪雪地帯,青森,A22,,Heavy Snowfall Area,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-05/A22-051001_02_GML.zip,A22-051001_02_GML.zip,A22-051001_02_HeavySnowfallArea.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2007.html,,,,,,,CP932,,4612,4.67MB 
豪雪地帯,青森,A22,,Heavy Snowfall Area,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-00/A22-001001_02_GML.zip,A22-001001_02_GML.zip,A22-001001_02_HeavySnowfallArea.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2007.html,,,,,,,CP932,,4612,4.67MB 
豪雪地帯,青森,A22,,Heavy Snowfall Area,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-95/A22-951001_02_GML.zip,A22-951001_02_GML.zip,A22-951001_02_HeavySnowfallArea.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2007.html,,,,,,,CP932,,4612,4.67MB 
豪雪地帯,青森,A22,,Heavy Snowfall Area,1990,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-90/A22-901001_02_GML.zip,A22-901001_02_GML.zip,A22-901001_02_HeavySnowfallArea.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2007.html,,,,,,,CP932,,4612,4.67MB 
豪雪地帯,青森,A22,,Heavy Snowfall Area,1985,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-85/A22-851001_02_GML.zip,A22-851001_02_GML.zip,A22-851001_02_HeavySnowfallArea.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2007.html,,,,,,,CP932,,4612,4.67MB 
豪雪地帯,青森,A22,,Heavy Snowfall Area,1980,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-80/A22-801001_02_GML.zip,A22-801001_02_GML.zip,A22-801001_02_HeavySnowfallArea.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2007.html,,,,,,,CP932,,4612,4.67MB 
豪雪地帯,青森,A22,,Heavy Snowfall Area,1975,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-75/A22-751001_02_GML.zip,A22-751001_02_GML.zip,A22-751001_02_HeavySnowfallArea.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2007.html,,,,,,,CP932,,4612,4.67MB 
豪雪地帯,青森,A22,,Heavy Snowfall Area,1970,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-70/A22-701001_02_GML.zip,A22-701001_02_GML.zip,A22-701001_02_HeavySnowfallArea.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2007.html,,,,,,,CP932,,4612,4.68MB 
豪雪地帯,青森,A22,,Heavy Snowfall Area,1965,https://nlftp.mlit.go.jp/ksj/gml/data/A22/A22-65/A22-651001_02_GML.zip,A22-651001_02_GML.zip,A22-651001_02_HeavySnowfallArea.shp,,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A22-2007.html,,,,,,,CP932,,4612,4.68MB 
