code_dantai,code_region,code_pref,code_muni,name_pref_j,name_muni_j,name_muni_kana,X,Y,name_pref_e,name_muni_e,,,,,
13633,81,1,363,北海道,厚沢部町,ｱｯｻﾌﾞﾁｮｳ,140.225475,41.920895,Hokkaido,Assabu,,,,,
13641,81,1,364,北海道,乙部町,ｵﾄﾍﾞﾁｮｳ,140.13546,41.968504,Hokkaido,Otobe,,,,,
13676,81,1,367,北海道,奥尻町,ｵｸｼﾘﾁｮｳ,139.514121,42.17226,Hokkaido,Okushiri,,,,,
13706,81,1,370,北海道,今金町,ｲﾏｶﾈﾁｮｳ,140.008766,42.429373,Hokkaido,Imakane,,,,,
13714,81,1,371,北海道,せたな町,ｾﾀﾅﾁｮｳ,139.882999,42.417145,Hokkaido,Setana,,,,,
13919,81,1,391,北海道,島牧村,ｼﾏﾏｷﾑﾗ,140.061454,42.700471,Hokkaido,Shimamaki,,,,,
13927,81,1,392,北海道,寿都町,ｽｯﾂﾁｮｳ,140.228891,42.790984,Hokkaido,Suttsu,,,,,
13935,81,1,393,北海道,黒松内町,ｸﾛﾏﾂﾅｲﾁｮｳ,140.307739,42.667788,Hokkaido,Kumomatsunai,,,,,
13943,81,1,394,北海道,蘭越町,ﾗﾝｺｼﾁｮｳ,140.528346,42.809205,Hokkaido,Rankoshi,,,,,
13951,81,1,395,北海道,ニセコ町,ﾆｾｺﾁｮｳ,140.68754,42.804788,Hokkaido,Niseko,,,,,
13960,81,1,396,北海道,真狩村,ﾏｯｶﾘﾑﾗ,140.8037711,42.7629599,Hokkaido,Makkari,,,,,
13978,81,1,397,北海道,留寿都村,ﾙｽﾂﾑﾗ,140.875768,42.737349,Hokkaido,Rusutsu,,,,,
13986,81,1,398,北海道,喜茂別町,ｷﾓﾍﾞﾂﾁｮｳ,140.934532,42.795439,Hokkaido,Kimobetsu,,,,,
13994,81,1,399,北海道,京極町,ｷｮｳｺﾞｸﾁｮｳ,140.883999,42.858216,Hokkaido,Kyogoku,,,,,
14001,81,1,400,北海道,倶知安町,ｸｯﾁｬﾝﾁｮｳ,140.758878,42.901752,Hokkaido,Kucchan,,,,,
14010,81,1,401,北海道,共和町,ｷｮｳﾜﾁｮｳ,140.611175,42.980407,Hokkaido,Kyowa,,,,,
14028,81,1,402,北海道,岩内町,ｲﾜﾅｲﾁｮｳ,140.509212,42.978778,Hokkaido,Iwanai,,,,,
14036,81,1,403,北海道,泊村,ﾄﾏﾘﾑﾗ,140.498857,43.063212,Hokkaido,Tomari,,,,,
14044,81,1,404,北海道,神恵内村,ｶﾓｴﾅｲﾑﾗ,140.430817,43.143791,Hokkaido,Kamoenai,,,,,
14052,81,1,405,北海道,積丹町,ｼｬｺﾀﾝﾁｮｳ,140.598001,43.29871,Hokkaido,Shakotan,,,,,
14061,81,1,406,北海道,古平町,ﾌﾙﾋﾞﾗﾁｮｳ,140.639078,43.265353,Hokkaido,Furubira,,,,,
14079,81,1,407,北海道,仁木町,ﾆｷﾁｮｳ,140.766168,43.151675,Hokkaido,Niki,,,,,
14087,81,1,408,北海道,余市町,ﾖｲﾁﾁｮｳ,140.783542,43.195343,Hokkaido,Yoichi,,,,,
14095,81,1,409,北海道,赤井川村,ｱｶｲｶﾞﾜﾑﾗ,140.81364,43.083479,Hokkaido,Akaigawa,,,,,
14231,81,1,423,北海道,南幌町,ﾅﾝﾎﾟﾛﾁｮｳ,141.65033,43.063739,Hokkaido,Namporo,,,,,
14249,81,1,424,北海道,奈井江町,ﾅｲｴﾁｮｳ,141.882816,43.425353,Hokkaido,Naie,,,,,
14257,81,1,425,北海道,上砂川町,ｶﾐｽﾅｶﾞﾜﾁｮｳ,141.984064,43.482538,Hokkaido,Kamisunagawa,,,,,
14273,81,1,427,北海道,由仁町,ﾕﾆﾁｮｳ,141.790309,42.999598,Hokkaido,Yuni,,,,,
14281,81,1,428,北海道,長沼町,ﾅｶﾞﾇﾏﾁｮｳ,141.695367,43.01034,Hokkaido,Naganuma,,,,,
14290,81,1,429,北海道,栗山町,ｸﾘﾔﾏﾁｮｳ,141.784099,43.05629,Hokkaido,Kuriyama,,,,,
14303,81,1,430,北海道,月形町,ﾂｷｶﾞﾀﾁｮｳ,141.669604,43.338397,Hokkaido,Tsukigata,,,,,
14311,81,1,431,北海道,浦臼町,ｳﾗｳｽﾁｮｳ,141.818727,43.430363,Hokkaido,Rausu,,,,,
14320,81,1,432,北海道,新十津川町,ｼﾝﾄﾂｶﾜﾁｮｳ,141.877009,43.5485,Hokkaido,Shintotsukawa,,,,,
14338,81,1,433,北海道,妹背牛町,ﾓｾｳｼﾁｮｳ,141.961606,43.700093,Hokkaido,Moseushi,,,,,
14346,81,1,434,北海道,秩父別町,ﾁｯﾌﾟﾍﾞﾂﾁｮｳ,141.957896,43.767,Hokkaido,Chippubetsu,,,,,
14362,81,1,436,北海道,雨竜町,ｳﾘｭｳﾁｮｳ,141.889036,43.643943,Hokkaido,Uryu,,,,,
14371,81,1,437,北海道,北竜町,ﾎｸﾘｭｳﾁｮｳ,141.879409,43.731426,Hokkaido,Hokuryu,,,,,
14389,81,1,438,北海道,沼田町,ﾇﾏﾀﾁｮｳ,141.933837,43.80674,Hokkaido,Numata,,,,,
14524,81,1,452,北海道,鷹栖町,ﾀｶｽﾁｮｳ,142.354402,43.843321,Hokkaido,Takasu,,,,,
14532,81,1,453,北海道,東神楽町,ﾋｶﾞｼｶｸﾞﾗﾁｮｳ,142.451591,43.696303,Hokkaido,Higashikagura,,,,,
14541,81,1,454,北海道,当麻町,ﾄｳﾏﾁｮｳ,142.508388,43.828201,Hokkaido,Toma,,,,,
14559,81,1,455,北海道,比布町,ﾋﾟｯﾌﾟﾁｮｳ,142.477699,43.875021,Hokkaido,Pippu,,,,,
14567,81,1,456,北海道,愛別町,ｱｲﾍﾞﾂﾁｮｳ,142.577822,43.906679,Hokkaido,Aibetsu,,,,,
14575,81,1,457,北海道,上川町,ｶﾐｶﾜﾁｮｳ,142.770459,43.847128,Hokkaido,Kamikawa,,,,,
14583,81,1,458,北海道,東川町,ﾋｶﾞｼｶﾜﾁｮｳ,142.510128,43.698877,Hokkaido,Higashikawa,,,,,
14591,81,1,459,北海道,美瑛町,ﾋﾞｴｲﾁｮｳ,142.467055,43.588279,Hokkaido,Biei,,,,,
14605,81,1,460,北海道,上富良野町,ｶﾐﾌﾗﾉﾁｮｳ,142.467112,43.455614,Hokkaido,Kamifurano,,,,,
14613,81,1,461,北海道,中富良野町,ﾅｶﾌﾗﾉﾁｮｳ,142.425034,43.405576,Hokkaido,Nakafurano,,,,,
14621,81,1,462,北海道,南富良野町,ﾐﾅﾐﾌﾗﾉﾁｮｳ,142.568522,43.164088,Hokkaido,Minamifurano,,,,,
14630,81,1,463,北海道,占冠村,ｼﾑｶｯﾌﾟﾑﾗ,142.398526,42.979836,Hokkaido,Shimukappu,,,,,
14648,81,1,464,北海道,和寒町,ﾜｯｻﾑﾁｮｳ,142.413383,44.023119,Hokkaido,Wassamu,,,,,
14656,81,1,465,北海道,剣淵町,ｹﾝﾌﾞﾁﾁｮｳ,142.361027,44.095746,Hokkaido,Kenbuchi,,,,,
14681,81,1,468,北海道,下川町,ｼﾓｶﾜﾁｮｳ,142.635219,44.302576,Hokkaido,Shimokawa,,,,,
14699,81,1,469,北海道,美深町,ﾋﾞﾌｶﾁｮｳ,142.304383,44.597661,Hokkaido,Bifuka,,,,,
14702,81,1,470,北海道,音威子府村,ｵﾄｲﾈｯﾌﾟﾑﾗ,142.262458,44.725096,Hokkaido,Otoineppu,,,,,
14711,81,1,471,北海道,中川町,ﾅｶｶﾞﾜﾁｮｳ,142.071409,44.811488,Hokkaido,Nakagawa,,,,,
14729,81,1,472,北海道,幌加内町,ﾎﾛｶﾅｲﾁｮｳ,142.153828,44.009812,Hokkaido,Horokanai,,,,,
14818,81,1,481,北海道,増毛町,ﾏｼｹﾁｮｳ,141.524978,43.856063,Hokkaido,Mashike,,,,,
14826,81,1,482,北海道,小平町,ｵﾋﾞﾗﾁｮｳ,141.662828,44.015141,Hokkaido,Obira,,,,,
14834,81,1,483,北海道,苫前町,ﾄﾏﾏｴﾁｮｳ,141.652932,44.306086,Hokkaido,Tomamae,,,,,
14842,81,1,484,北海道,羽幌町,ﾊﾎﾞﾛﾁｮｳ,141.697249,44.36061,Hokkaido,Haboro,,,,,
14851,81,1,485,北海道,初山別村,ｼｮｻﾝﾍﾞﾂﾑﾗ,141.766342,44.532149,Hokkaido,Shosanbetsu,,,,,
14869,81,1,486,北海道,遠別町,ｴﾝﾍﾞﾂﾁｮｳ,141.792322,44.722462,Hokkaido,Enbetsu,,,,,
14877,81,1,487,北海道,天塩町,ﾃｼｵﾁｮｳ,141.745324,44.888121,Hokkaido,Teshio,,,,,
15113,81,1,511,北海道,猿払村,ｻﾙﾌﾂﾑﾗ,142.108945,45.33061,Hokkaido,Sarufutsu,,,,,
15121,81,1,512,北海道,浜頓別町,ﾊﾏﾄﾝﾍﾞﾂﾁｮｳ,142.35964,45.123716,Hokkaido,Hamatonbetsu,,,,,
15130,81,1,513,北海道,中頓別町,ﾅｶﾄﾝﾍﾞﾂﾁｮｳ,142.286705,44.96971,Hokkaido,Nakatonbetsu,,,,,
15148,81,1,514,北海道,枝幸町,ｴｻｼﾁｮｳ,142.581405,44.9387,Hokkaido,Esashi,,,,,
15164,81,1,516,北海道,豊富町,ﾄﾖﾄﾐﾁｮｳ,141.777508,45.102847,Hokkaido,Toyotomi,,,,,
15172,81,1,517,北海道,礼文町,ﾚﾌﾞﾝﾁｮｳ,141.047717,45.303062,Hokkaido,Rebun,,,,,
15181,81,1,518,北海道,利尻町,ﾘｼﾘﾁｮｳ,141.139597,45.187041,Hokkaido,Rishiri,,,,,
15199,81,1,519,北海道,利尻富士町,ﾘｼﾘﾌｼﾞﾁｮｳ,141.214719,45.247459,Hokkaido,Rishirifuji,,,,,
15202,81,1,520,北海道,幌延町,ﾎﾛﾉﾍﾞﾁｮｳ,141.849406,45.017635,Hokkaido,Horonobe,,,,,
15431,81,1,543,北海道,美幌町,ﾋﾞﾎﾛﾁｮｳ,144.107151,43.823721,Hokkaido,Bihoro,,,,,
15440,81,1,544,北海道,津別町,ﾂﾍﾞﾂﾁｮｳ,144.024803,43.706316,Hokkaido,Tsubetsu,,,,,
15458,81,1,545,北海道,斜里町,ｼｬﾘﾁｮｳ,144.670713,43.911441,Hokkaido,Shari,,,,,
15466,81,1,546,北海道,清里町,ｷﾖｻﾄﾁｮｳ,144.594582,43.835224,Hokkaido,Kiyosato,,,,,
15474,81,1,547,北海道,小清水町,ｺｼﾐｽﾞﾁｮｳ,144.462114,43.856679,Hokkaido,Koshimizu,,,,,
15491,81,1,549,北海道,訓子府町,ｸﾝﾈｯﾌﾟﾁｮｳ,143.741685,43.725328,Hokkaido,Kunneppu,,,,,
15504,81,1,550,北海道,置戸町,ｵｹﾄﾁｮｳ,143.586402,43.676328,Hokkaido,Oketo,,,,,
15521,81,1,552,北海道,佐呂間町,ｻﾛﾏﾁｮｳ,143.774714,44.017859,Hokkaido,Saroma,,,,,
15555,81,1,555,北海道,遠軽町,ｴﾝｶﾞﾙﾁｮｳ,143.527726,44.061947,Hokkaido,Engaru,,,,,
15598,81,1,559,北海道,湧別町,ﾕｳﾍﾞﾂﾁｮｳ,,,Hokkaido,Yubetsu,,,,,
15601,81,1,560,北海道,滝上町,ﾀｷﾉｳｴﾁｮｳ,143.07765,44.19227,Hokkaido,Takinoue,,,,,
