availability,year,url,zip,shp,altdir,epsg,qml
all,2021,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-21/L03-a-21_code_mesh1-jgd2011_GML.zip,L03-a-21_code_mesh1-jgd2011_GML.zip,L03-a-21_code_mesh1.shp,,6668,L03-a-2021.qml
all,2016,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-16/L03-a-16_code_mesh1-jgd_GML.zip,L03-a-16_code_mesh1-jgd_GML.zip,L03-a-16_code_mesh1.shp,,4612,L03-a-2016.qml
all,2014,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-14/L03-a-14_code_mesh1-jgd_GML.zip,L03-a-14_code_mesh1-jgd_GML.zip,L03-a-14_code_mesh1.shp,,4612,L03-a-2016.qml
all,2009,https://nlftp.mlit.go.jp/ksj/gml/data/L03-a/L03-a-09/L03-a-09_code_mesh1-jgd_GML.zip,L03-a-09_code_mesh1-jgd_GML.zip,L03-a-09_code_mesh1.shp,,4612,L03-a-2016.qml
