availability,year,url,zip,shp,altdir,qml,detail1,detail2
北海道,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A55/A55-22/A55-22_01000_SHP.zip,/Users/baba/data.noindex/A55/A55-22_01000_SHP.zip,A55-22_01000_SHP/A55-22_01100_SHP/01100_bouka.shp,,A55-2022_bouka.qml,札幌市,防火・準防火地域
北海道,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A55/A55-22/A55-22_01000_SHP.zip,/Users/baba/data.noindex/A55/A55-22_01000_SHP.zip,A55-22_01000_SHP/A55-22_01100_SHP/01100_chikukei.shp,,A55-2022_chikukei.qml,札幌市,地区計画
北海道,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A55/A55-22/A55-22_01000_SHP.zip,/Users/baba/data.noindex/A55/A55-22_01000_SHP.zip,A55-22_01000_SHP/A55-22_01100_SHP/01100_douro.shp,,A55-2022_douro.qml,札幌市,都市計画道路
北海道,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A55/A55-22/A55-22_01000_SHP.zip,/Users/baba/data.noindex/A55/A55-22_01000_SHP.zip,A55-22_01000_SHP/A55-22_01100_SHP/01100_koudori.shp,,A55-2022_koudori.qml,札幌市,高度利用地区
北海道,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A55/A55-22/A55-22_01000_SHP.zip,/Users/baba/data.noindex/A55/A55-22_01000_SHP.zip,A55-22_01000_SHP/A55-22_01100_SHP/01100_koudoti.shp,,A55-2022_koudoti.qml,札幌市,高度地区
北海道,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A55/A55-22/A55-22_01000_SHP.zip,/Users/baba/data.noindex/A55/A55-22_01000_SHP.zip,A55-22_01000_SHP/A55-22_01100_SHP/01100_ritteki.shp,,A55-2022_ritteki.qml,札幌市,立地適正化計画
北海道,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A55/A55-22/A55-22_01000_SHP.zip,/Users/baba/data.noindex/A55/A55-22_01000_SHP.zip,A55-22_01000_SHP/A55-22_01100_SHP/01100_senbiki.shp,,A55-2022_senbiki.qml,札幌市,区域区分
北海道,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A55/A55-22/A55-22_01000_SHP.zip,/Users/baba/data.noindex/A55/A55-22_01000_SHP.zip,A55-22_01000_SHP/A55-22_01100_SHP/01100_tkbt.shp,,A55-2022_tkbt.qml,札幌市,特別用途地区
北海道,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A55/A55-22/A55-22_01000_SHP.zip,/Users/baba/data.noindex/A55/A55-22_01000_SHP.zip,A55-22_01000_SHP/A55-22_01100_SHP/01100_tochiku.shp,,A55-2022_tochiku.qml,札幌市,土地区画整理事業
北海道,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A55/A55-22/A55-22_01000_SHP.zip,/Users/baba/data.noindex/A55/A55-22_01000_SHP.zip,A55-22_01000_SHP/A55-22_01100_SHP/01100_tokei.shp,,A55-2022_tokei.qml,札幌市,都市計画区域
