name_j,availability,code_map,type_muni,name_e,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize
砂防指定地,滋賀,A52,regional,Erosion Control Area,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A52/A52-23/A52-23_code_pref_GML.zip,A52-23_code_pref_GML.zip,Shape/A52-23_code_prefPolygon.shp,GeoJSON/A52-23_code_prefPolygon.geojson,A52-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A52-2023.html,,,,,A52_002,code_pref_muni,CP932,,6668,5.74
砂防指定地,和歌山,A52,regional,Erosion Control Area,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A52/A52-23/A52-23_code_pref_GML.zip,A52-23_code_pref_GML.zip,Shape/A52-23_code_prefPolygon.shp,GeoJSON/A52-23_code_prefPolygon.geojson,A52-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A52-2023.html,,,,,A52_002,code_pref_muni,CP932,,6668,5.3
砂防指定地,島根,A52,regional,Erosion Control Area,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A52/A52-23/A52-23_code_pref_GML.zip,A52-23_code_pref_GML.zip,Shape/A52-23_code_prefPolygon.shp,GeoJSON/A52-23_code_prefPolygon.geojson,A52-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A52-2023.html,,,,,A52_002,code_pref_muni,CP932,,6668,13.2
砂防指定地,広島,A52,regional,Erosion Control Area,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A52/A52-23/A52-23_code_pref_GML.zip,A52-23_code_pref_GML.zip,Shape/A52-23_code_prefPolygon.shp,GeoJSON/A52-23_code_prefPolygon.geojson,A52-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A52-2023.html,,,,,A52_002,code_pref_muni,CP932,,6668,13.05
砂防指定地,徳島,A52,regional,Erosion Control Area,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A52/A52-23/A52-23_code_pref_GML.zip,A52-23_code_pref_GML.zip,Shape/A52-23_code_prefPolygon.shp,GeoJSON/A52-23_code_prefPolygon.geojson,A52-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A52-2023.html,,,,,A52_002,code_pref_muni,CP932,,6668,5.46
砂防指定地,香川,A52,regional,Erosion Control Area,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A52/A52-23/A52-23_code_pref_GML.zip,A52-23_code_pref_GML.zip,Shape/A52-23_code_prefPolygon.shp,GeoJSON/A52-23_code_prefPolygon.geojson,A52-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A52-2023.html,,,,,A52_002,code_pref_muni,CP932,,6668,4.95
砂防指定地,高知,A52,regional,Erosion Control Area,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A52/A52-23/A52-23_code_pref_GML.zip,A52-23_code_pref_GML.zip,Shape/A52-23_code_prefPolygon.shp,GeoJSON/A52-23_code_prefPolygon.geojson,A52-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A52-2023.html,,,,,A52_002,code_pref_muni,CP932,,6668,11.22
砂防指定地,長崎,A52,regional,Erosion Control Area,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A52/A52-23/A52-23_code_pref_GML.zip,A52-23_code_pref_GML.zip,Shape/A52-23_code_prefPolygon.shp,GeoJSON/A52-23_code_prefPolygon.geojson,A52-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A52-2023.html,,,,,A52_002,code_pref_muni,CP932,,6668,1.27
砂防指定地,熊本,A52,regional,Erosion Control Area,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A52/A52-23/A52-23_code_pref_GML.zip,A52-23_code_pref_GML.zip,Shape/A52-23_code_prefPolygon.shp,GeoJSON/A52-23_code_prefPolygon.geojson,A52-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A52-2023.html,,,,,A52_002,code_pref_muni,CP932,,6668,5.96
砂防指定地,鹿児島,A52,regional,Erosion Control Area,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A52/A52-23/A52-23_code_pref_GML.zip,A52-23_code_pref_GML.zip,Shape/A52-23_code_prefPolygon.shp,GeoJSON/A52-23_code_prefPolygon.geojson,A52-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A52-2023.html,,,,,A52_002,code_pref_muni,CP932,,6668,5.02
砂防指定地,沖縄,A52,regional,Erosion Control Area,2023,https://nlftp.mlit.go.jp/ksj/gml/data/A52/A52-23/A52-23_code_pref_GML.zip,A52-23_code_pref_GML.zip,Shape/A52-23_code_prefPolygon.shp,GeoJSON/A52-23_code_prefPolygon.geojson,A52-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A52-2023.html,,,,,A52_002,code_pref_muni,CP932,,6668,0.28
