availability,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize,detail1,detail2
北海道,2018,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-{year2digit}/A09-{year2digit}_{code_pref}_GML.zip,A09-{year2digit}_{code_pref}_GML.zip,shp_file/01100_札幌市.shp,,A09-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A09.html,layer_no,市街化区域 市街化調整区域 その他用途地域 用途未設定 都市地域,,,,,CP932,,6668,,札幌市,
北海道,2018,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-{year2digit}/A09-{year2digit}_{code_pref}_GML.zip,A09-{year2digit}_{code_pref}_GML.zip,shp_file/01202_函館市.shp,,A09-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A09.html,,,,,,,CP932,,6668,,函館市,
北海道,2018,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-{year2digit}/A09-{year2digit}_{code_pref}_GML.zip,A09-{year2digit}_{code_pref}_GML.zip,shp_file/01203_小樽市.shp,,A09-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A09.html,,,,,,,CP932,,6668,,小樽市,
北海道,2018,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-{year2digit}/A09-{year2digit}_{code_pref}_GML.zip,A09-{year2digit}_{code_pref}_GML.zip,shp_file/01204_旭川市.shp,,A09-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A09.html,,,,,,,CP932,,6668,,旭川市,
北海道,2018,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-{year2digit}/A09-{year2digit}_{code_pref}_GML.zip,A09-{year2digit}_{code_pref}_GML.zip,shp_file/01205_室蘭市.shp,,A09-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A09.html,,,,,,,CP932,,6668,,室蘭市,
北海道,2018,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-{year2digit}/A09-{year2digit}_{code_pref}_GML.zip,A09-{year2digit}_{code_pref}_GML.zip,shp_file/01206_釧路市.shp,,A09-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A09.html,,,,,,,CP932,,6668,,釧路市,
北海道,2018,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-{year2digit}/A09-{year2digit}_{code_pref}_GML.zip,A09-{year2digit}_{code_pref}_GML.zip,shp_file/01207_帯広市.shp,,A09-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A09.html,,,,,,,CP932,,6668,,帯広市,
北海道,2018,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-{year2digit}/A09-{year2digit}_{code_pref}_GML.zip,A09-{year2digit}_{code_pref}_GML.zip,shp_file/01208_北見市.shp,,A09-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A09.html,,,,,,,CP932,,6668,,北見市,
北海道,2018,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-{year2digit}/A09-{year2digit}_{code_pref}_GML.zip,A09-{year2digit}_{code_pref}_GML.zip,shp_file/01209_夕張市.shp,,A09-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A09.html,,,,,,,CP932,,6668,,夕張市,
北海道,2018,https://nlftp.mlit.go.jp/ksj/gml/data/A09/A09-{year2digit}/A09-{year2digit}_{code_pref}_GML.zip,A09-{year2digit}_{code_pref}_GML.zip,shp_file/01210_岩見沢市.shp,,A09-{year2digit}_{code_pref}_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A09.html,,,,,,,CP932,,6668,,岩見沢市,
