availability,year,url,zip,shp,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg
全国,2025,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-25/L01-25_GML.zip,L01-25_GML.zip,L01-25.shp,L01-25_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2025.html,L01_008,,,,L01_004,code_pref_muni,CP932,L01-2025.qml,6668
全国,2024,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-24/L01-24_GML.zip,L01-24_GML.zip,L01-24.shp,L01-24_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2024.html,L01_009,,,,L01_001,code_pref_muni,CP932,L01-2024.qml,6668
全国,2023,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-23/L01-23_GML.zip,L01-23_GML.zip,L01-23.shp,L01-23_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2023.html,L01_006,,,,L01_022,code_pref_muni,CP932,L01-2023.qml,4612
全国,2022,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-22/L01-22_GML.zip,L01-22_GML.zip,L01-22.shp,L01-22_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2022.html,L01_006,,,,L01_022,code_pref_muni,CP932,L01-2022.qml,4612
全国,2021,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-21/L01-21_GML.zip,L01-21_GML.zip,L01-21.shp,L01-21_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2021.html,L01_006,,,,L01_021,code_pref_muni,CP932,,4612
全国,2020,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-20/L01-20_GML.zip,L01-20_GML.zip,L01-20.shp,L01-20_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2020.html,L01_006,,,,L01_021,code_pref_muni,CP932,,4612
全国,2019,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-19/L01-19_GML.zip,L01-19_GML.zip,L01-19.shp,L01-19_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2019.html,L01_006,,,,L01_021,code_pref_muni,CP932,,4612
全国,2018,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-18/L01-18_GML.zip,L01-18_GML.zip,L01-18.shp,L01-18_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2018.html,L01_006,,,,L01_021,code_pref_muni,CP932,,4612
全国,2017,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-17/L01-17_GML.zip,L01-17_GML.zip,L01-17.shp,L01-17_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2017.html,L01_006,,,,L01_017,code_pref_muni,CP932,,4612
allprefs,2025,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-25/L01-25_code_pref_GML.zip,L01-25_code_pref_GML.zip,L01-25_code_pref.shp,L01-25_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2025.html,L01_008,,,,L01_004,code_pref_muni,CP932,L01-2025.qml,6668
allprefs,2024,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-24/L01-24_code_pref_GML.zip,L01-24_code_pref_GML.zip,L01-24_code_pref.shp,L01-24_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2024.html,L01_009,,,,L01_001,code_pref_muni,CP932,L01-2024.qml,6668
allprefs,2023,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-23/L01-23_code_pref_GML.zip,L01-23_code_pref_GML.zip,L01-23_code_pref.shp,L01-23_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2023.html,L01_006,,,,L01_022,code_pref_muni,CP932,L01-2023.qml,4612
allprefs,2022,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-22/L01-22_code_pref_GML.zip,L01-22_code_pref_GML.zip,L01-22_code_pref.shp,L01-22_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2022.html,L01_006,,,,L01_022,code_pref_muni,CP932,L01-2022.qml,4612
allprefs,2021,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-21/L01-21_code_pref_GML.zip,L01-21_code_pref_GML.zip,L01-21_code_pref.shp,L01-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2021.html,L01_006,,,,L01_021,code_pref_muni,CP932,,4612
allprefs,2020,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-20/L01-20_code_pref_GML.zip,L01-20_code_pref_GML.zip,L01-20_code_pref.shp,L01-20_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2020.html,L01_006,,,,L01_021,code_pref_muni,CP932,,4612
allprefs,2019,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-19/L01-19_code_pref_GML.zip,L01-19_code_pref_GML.zip,L01-19_code_pref.shp,L01-19_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2019.html,L01_006,,,,L01_021,code_pref_muni,CP932,,4612
allprefs,2018,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-18/L01-18_code_pref_GML.zip,L01-18_code_pref_GML.zip,L01-18_code_pref.shp,L01-18_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2018.html,L01_006,,,,L01_021,code_pref_muni,CP932,,4612
allprefs,2017,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-17/L01-17_code_pref_GML.zip,L01-17_code_pref_GML.zip,L01-17_code_pref.shp,L01-17_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2017.html,L01_006,,,,L01_017,code_pref_muni,CP932,,4612
allprefs,2016,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-16/L01-16_code_pref_GML.zip,L01-16_code_pref_GML.zip,L01-16_code_pref.shp,L01-16_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2017.html,L01_006,,,,L01_017,code_pref_muni,CP932,,4612
allprefs,2015,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-15/L01-15_code_pref_GML.zip,L01-15_code_pref_GML.zip,L01-15_code_pref.shp,L01-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2017.html,L01_006,,,,L01_017,code_pref_muni,CP932,,4612
allprefs,2014,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-14/L01-14_code_pref_GML.zip,L01-14_code_pref_GML.zip,L01-14_code_pref.shp,L01-14_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2014.html,L01_006,,,,L01_017,code_pref_muni,CP932,,4612
allprefs,2013,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-13/L01-13_code_pref_GML.zip,L01-13_code_pref_GML.zip,L01-13_code_pref.shp,L01-13_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2013.html,L01_006,,,,L01_017,code_pref_muni,CP932,,4612
allprefs,2012,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-12/L01-12_code_pref_GML.zip,L01-12_code_pref_GML.zip,L01-12_code_pref.shp,L01-12_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2013.html,L01_006,,,,L01_017,code_pref_muni,CP932,,4612
allprefs,2011,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-11/L01-11_code_pref_GML.zip,L01-11_code_pref_GML.zip,L01-11_code_pref-g_LandPrice.shp,L01-11_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2013.html,L01_006,,,,L01_017,code_pref_muni,CP932,,4612
allprefs,2010,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-10/L01-10_code_pref_GML.zip,L01-10_code_pref_GML.zip,L01-10_code_pref-g_LandPrice.shp,L01-10_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2013.html,L01_006,,,,L01_017,code_pref_muni,CP932,,4612
allprefs,2009,https://nlftp.mlit.go.jp/ksj/gml/data/L01/L01-09/L01-09_code_pref_GML.zip,L01-09_code_pref_GML.zip,L01-09_code_pref-g_LandPrice.shp,L01-09_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-L01-2013.html,L01_006,,,,L01_017,code_pref_muni,CP932,,4612
