availability,year,url,zip,shp,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg
allprefs,2024,https://nlftp.mlit.go.jp/ksj/gml/data/m1kr6/m1kr6-24/1km_mesh_2024_code_pref_SHP.zip,1km_mesh_2024_code_pref_SHP.zip,1km_mesh_2024_code_pref.shp,1km_mesh_2024_code_pref_SHP,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-mesh1000r6.html,,,,,,,CP932,,6668
allprefs,2018,https://nlftp.mlit.go.jp/ksj/gml/data/m1kh30/m1kh30-18/1km_mesh_suikei_2018_shape_code_pref.zip,1km_mesh_suikei_2018_shape_code_pref.zip,1km_mesh_2018_code_pref.shp,1km_mesh_2018_code_pref_SHP,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-mesh1000h30.html,,,,,,,CP932,,4612
allprefs,2017,https://nlftp.mlit.go.jp/ksj/gml/data/m1kh29/m1kh29-17/1km_mesh_suikei_2017_shape_code_pref.zip,1km_mesh_suikei_2017_shape_code_pref.zip,1km_mesh_2017_code_pref.shp,1km_mesh_2017_code_pref_SHP,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-mesh1000h29.html,,,,,,,CP932,,4612
