availability,year,url,zip,shp,altdir,source,encoding,qml,epsg,filesize
北海道,2017,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-17/A17-17_01_GML.zip,A17-17_01.zip,A17-17_01.shp,A17-17_01_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2017.html,CP932,A17-2017.qml,6668,
北海道,2016,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-16/A17-16_01_GML.zip,A17-16_01.zip,A17-16_01.shp,A17-16_01_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2017.html,CP932,A17-2017.qml,6668,
北海道,2007,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-07/A17-070402_01_GML.zip,A17-070402_01_GML.zip,A17-070402_01_DevelopmentMountainVillage.shp,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2007.html,CP932,,4612,
北海道,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-05/A17-051001_01_GML.zip,A17-051001_01_GML.zip,A17-051001_01_DevelopmentMountainVillage.shp,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2007.html,CP932,,4612,
北海道,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-00/A17-001001_01_GML.zip,A17-001001_01_GML.zip,A17-001001_01_DevelopmentMountainVillage.shp,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2007.html,CP932,,4612,
北海道,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-95/A17-951001_01_GML.zip,A17-951001_01_GML.zip,A17-951001_01_DevelopmentMountainVillage.shp,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2007.html,CP932,,4612,
北海道,1990,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-90/A17-901001_01_GML.zip,A17-901001_01_GML.zip,A17-901001_01_DevelopmentMountainVillage.shp,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2007.html,CP932,,4612,
北海道,1985,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-85/A17-851001_01_GML.zip,A17-851001_01_GML.zip,A17-851001_01_DevelopmentMountainVillage.shp,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2007.html,CP932,,4612,
北海道,1980,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-80/A17-801001_01_GML.zip,A17-801001_01_GML.zip,A17-801001_01_DevelopmentMountainVillage.shp,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2007.html,CP932,,4612,
北海道,1975,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-75/A17-751001_01_GML.zip,A17-751001_01_GML.zip,A17-751001_01_DevelopmentMountainVillage.shp,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2007.html,CP932,,4612,
北海道,1970,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-70/A17-701001_01_GML.zip,A17-701001_01_GML.zip,A17-701001_01_DevelopmentMountainVillage.shp,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2007.html,CP932,,4612,
青森県,2017,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-17/A17-17_02_GML.zip,A17-17_02.zip,A17-17_02.shp,A17-17_02_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2017.html,CP932,A17-2017.qml,6668,
青森県,2016,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-16/A17-16_02_GML.zip,A17-16_02.zip,A17-16_02.shp,A17-16_02_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2017.html,CP932,A17-2017.qml,6668,
青森県,2007,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-07/A17-070402_02_GML.zip,A17-070402_02_GML.zip,A17-070402_02_DevelopmentMountainVillage.shp,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2007.html,CP932,,4612,
青森県,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-05/A17-051001_02_GML.zip,A17-051001_02_GML.zip,A17-051001_02_DevelopmentMountainVillage.shp,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2007.html,CP932,,4612,
青森県,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-00/A17-001001_02_GML.zip,A17-001001_02_GML.zip,A17-001001_02_DevelopmentMountainVillage.shp,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2007.html,CP932,,4612,
青森県,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-95/A17-951001_02_GML.zip,A17-951001_02_GML.zip,A17-951001_02_DevelopmentMountainVillage.shp,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2007.html,CP932,,4612,
青森県,1990,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-90/A17-901001_02_GML.zip,A17-901001_02_GML.zip,A17-901001_02_DevelopmentMountainVillage.shp,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2007.html,CP932,,4612,
青森県,1985,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-85/A17-851001_02_GML.zip,A17-851001_02_GML.zip,A17-851001_02_DevelopmentMountainVillage.shp,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2007.html,CP932,,4612,
青森県,1980,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-80/A17-801001_02_GML.zip,A17-801001_02_GML.zip,A17-801001_02_DevelopmentMountainVillage.shp,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2007.html,CP932,,4612,
青森県,1975,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-75/A17-751001_02_GML.zip,A17-751001_02_GML.zip,A17-751001_02_DevelopmentMountainVillage.shp,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2007.html,CP932,,4612,
青森県,1970,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-70/A17-701001_02_GML.zip,A17-701001_02_GML.zip,A17-701001_02_DevelopmentMountainVillage.shp,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2007.html,CP932,,4612,
岩手県,2017,https://nlftp.mlit.go.jp/ksj/gml/data/A17/A17-17/A17-17_03_GML.zip,A17-17_03.zip,A17-17_03.shp,A17-17_03_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A17-2017.html,CP932,A17-2017.qml,6668,
