availability,year,url,zip,shp,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize
山形県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-05/A19-051001_06_GML.zip,A19-051001_06_GML.zip,A19-051001_06_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
山形県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-00/A19-001001_06_GML.zip,A19-001001_06_GML.zip,A19-001001_06_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
山形県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-95/A19-951001_06_GML.zip,A19-951001_06_GML.zip,A19-951001_06_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
山形県 ,1990,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-90/A19-901001_06_GML.zip,A19-901001_06_GML.zip,A19-901001_06_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
山形県 ,1985,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-85/A19-851001_06_GML.zip,A19-851001_06_GML.zip,A19-851001_06_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
山形県 ,1980,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-80/A19-801001_06_GML.zip,A19-801001_06_GML.zip,A19-801001_06_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
山形県 ,1975,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-75/A19-751001_06_GML.zip,A19-751001_06_GML.zip,A19-751001_06_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
山形県 ,1970,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-70/A19-701001_06_GML.zip,A19-701001_06_GML.zip,A19-701001_06_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
山形県 ,1965,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-65/A19-651001_06_GML.zip,A19-651001_06_GML.zip,A19-651001_06_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
山形県 ,1960,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-60/A19-601001_06_GML.zip,A19-601001_06_GML.zip,A19-601001_06_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
山形県 ,1955,https://nlftp.mlit.go.jp/ksj/gml/data/A19/A19-55/A19-551001_06_GML.zip,A19-551001_06_GML.zip,A19-551001_06_RemoteIslandDevelopmentImplementationArea.shp,,,,,,,,,,,,
