availability,year,url,zip,shp,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg
all,2022,https://nlftp.mlit.go.jp/ksj/gml/data/G02/G02-22/G02-22_code_mesh1-jgd_GML.zip,G02-22_code_mesh1-jgd_GML.zip,G02-22_code_mesh1-jgd.shp,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N04.html,,,,,,,CP932,,4612
all,2012,https://nlftp.mlit.go.jp/ksj/gml/data/G02/G02-12/G02-12_code_mesh1-jgd_GML.zip,G02-12_code_mesh1-jgd_GML.zip,G02-12_code_mesh1-jgd.shp,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N04.html,,,,,,,CP932,,4612
