code_pref,code_muni,name_muni_j,code_mesh1,name_muni_e
1,438,沼田町,6641,Numata
1,438,沼田町,6642,Numata
1,452,鷹栖町,6542,Takasu
1,453,東神楽町,6542,Higashikagura
1,454,当麻町,6542,Toma
1,455,比布町,6542,Pippu
1,456,愛別町,6542,Aibetsu
1,456,愛別町,6642,Aibetsu
1,457,上川町,6542,Kamikawa
1,457,上川町,6543,Kamikawa
1,458,東川町,6542,Higashikawa
1,459,美瑛町,6542,Biei
1,460,上富良野町,6542,Kamifurano
1,461,中富良野町,6542,Nakafurano
1,462,南富良野町,6442,Minamifurano
1,462,南富良野町,6542,Minamifurano
1,463,占冠村,6442,Shimukappu
1,464,和寒町,6542,Wassamu
1,464,和寒町,6642,Wassamu
1,465,剣淵町,6642,Kenbuchi
1,468,下川町,6642,Shimokawa
1,469,美深町,6642,Bifuka
1,469,美深町,6742,Bifuka
1,470,音威子府村,6642,Otoineppu
1,470,音威子府村,6742,Otoineppu
1,471,中川町,6641,Nakagawa
1,471,中川町,6642,Nakagawa
1,471,中川町,6741,Nakagawa
1,471,中川町,6742,Nakagawa
1,472,幌加内町,6542,Horokanai
1,472,幌加内町,6642,Horokanai
1,481,増毛町,6541,Mashike
1,482,小平町,6541,Obira
1,482,小平町,6542,Obira
1,482,小平町,6641,Obira
1,482,小平町,6642,Obira
1,483,苫前町,6641,Tomamae
1,483,苫前町,6642,Tomamae
1,484,羽幌町,6641,Haboro
1,484,羽幌町,6642,Haboro
1,485,初山別村,6641,Shosanbetsu
1,486,遠別町,6641,Enbetsu
1,486,遠別町,6642,Enbetsu
1,486,遠別町,6741,Enbetsu
1,486,遠別町,6742,Enbetsu
1,487,天塩町,6741,Teshio
1,487,天塩町,6742,Teshio
1,511,猿払村,6741,Sarufutsu
1,511,猿払村,6742,Sarufutsu
1,511,猿払村,6841,Sarufutsu
1,511,猿払村,6842,Sarufutsu
1,512,浜頓別町,6742,Hamatonbetsu
1,513,中頓別町,6742,Nakatonbetsu
1,514,枝幸町,6642,Esashi
1,514,枝幸町,6742,Esashi
1,516,豊富町,6741,Toyotomi
1,516,豊富町,6742,Toyotomi
1,517,礼文町,6740,Rebun
1,517,礼文町,6741,Rebun
1,517,礼文町,6840,Rebun
1,517,礼文町,6841,Rebun
1,518,利尻町,6741,Rishiri
1,519,利尻富士町,6741,Rishirifuji
1,520,幌延町,6741,Horonobe
1,520,幌延町,6742,Horonobe
1,543,美幌町,6543,Bihoro
1,543,美幌町,6544,Bihoro
1,544,津別町,6543,Tsubetsu
1,544,津別町,6544,Tsubetsu
1,545,斜里町,6544,Shari
1,545,斜里町,6545,Shari
1,545,斜里町,6644,Shari
1,545,斜里町,6645,Shari
1,546,清里町,6544,Kiyosato
1,547,小清水町,6544,Koshimizu
1,549,訓子府町,6543,Kunneppu
1,550,置戸町,6543,Oketo
1,552,佐呂間町,6543,Saroma
1,552,佐呂間町,6643,Saroma
1,555,遠軽町,6543,Engaru
1,555,遠軽町,6643,Engaru
1,559,湧別町,6543,Yubetsu
1,559,湧別町,6643,Yubetsu
1,560,滝上町,6542,Takinoue
1,560,滝上町,6543,Takinoue
1,560,滝上町,6642,Takinoue
1,560,滝上町,6643,Takinoue
1,561,興部町,6642,Okoppe
1,561,興部町,6643,Okoppe
1,562,西興部村,6642,Nishiokoppe
1,562,西興部村,6643,Nishiokoppe
1,563,雄武町,6642,Omu
1,563,雄武町,6643,Omu
1,563,雄武町,6742,Omu
1,564,大空町,6544,Ozora
1,571,豊浦町,6340,Toyoura
1,571,豊浦町,6440,Toyoura
1,575,壮瞥町,6340,Sobetsu
1,575,壮瞥町,6341,Sobetsu
1,578,白老町,6341,Shiraoi
1,578,白老町,6441,Shiraoi
1,581,厚真町,6341,Atsuma
1,581,厚真町,6342,Atsuma
1,581,厚真町,6441,Atsuma
1,581,厚真町,6442,Atsuma
1,584,洞爺湖町,6340,Toyako
1,584,洞爺湖町,6440,Toyako
1,585,安平町,6441,Abira
1,586,むかわ町,6341,Mukawa
1,586,むかわ町,6342,Mukawa
1,586,むかわ町,6441,Mukawa
1,586,むかわ町,6442,Mukawa
1,601,日高町,6341,Hidaka
1,601,日高町,6342,Hidaka
1,601,日高町,6442,Hidaka
1,602,平取町,6342,Biratori
1,602,平取町,6442,Biratori
1,604,新冠町,6342,Niikappu
1,604,新冠町,6442,Niikappu
1,607,浦河町,6342,Urakawa
1,607,浦河町,6343,Urakawa
1,608,様似町,6342,Samani
1,608,様似町,6343,Samani
1,609,えりも町,6243,Erimo
1,609,えりも町,6343,Erimo
1,610,新ひだか町,6342,Shinhidaka
1,610,新ひだか町,6442,Shinhidaka
1,631,音更町,6443,Otofuke
1,632,士幌町,6443,Shihoro
1,633,上士幌町,6443,Kamishihoro
1,633,上士幌町,6543,Kamishihoro
1,634,鹿追町,6442,Shikaoi
1,634,鹿追町,6443,Shikaoi
1,634,鹿追町,6543,Shikaoi
1,635,新得町,6442,Shintoku
1,635,新得町,6443,Shintoku
1,635,新得町,6542,Shintoku
1,635,新得町,6543,Shintoku
1,636,清水町,6442,Shimizu
1,636,清水町,6443,Shimizu
1,637,芽室町,6442,Memuro
1,637,芽室町,6443,Memuro
1,638,中札内村,6342,Nakasatsunai
1,638,中札内村,6343,Nakasatsunai
1,638,中札内村,6442,Nakasatsunai
1,638,中札内村,6443,Nakasatsunai
1,639,更別村,6343,Sarabetsu
1,639,更別村,6443,Sarabetsu
1,641,大樹町,6342,Taiki
1,641,大樹町,6343,Taiki
1,641,大樹町,6443,Taiki
1,642,広尾町,6342,Hiroo
1,642,広尾町,6343,Hiroo
1,643,幕別町,6343,Makubetsu
1,643,幕別町,6443,Makubetsu
1,644,池田町,6443,Ikeda (Hokkaido)
1,645,豊頃町,6343,Toyokoro
1,645,豊頃町,6443,Toyokoro
1,646,本別町,6443,Honbetsu
1,647,足寄町,6443,Ashoro
1,647,足寄町,6543,Ashoro
1,647,足寄町,6544,Ashoro
1,648,陸別町,6543,Rikubetsu
1,649,浦幌町,6443,Urahoro
1,661,釧路町,6444,Kushiro
1,662,厚岸町,6444,Akkeshi
1,662,厚岸町,6445,Akkeshi
1,662,厚岸町,6544,Akkeshi
1,663,浜中町,6444,Hamanaka
1,663,浜中町,6445,Hamanaka
1,664,標茶町,6444,Shibecha
1,664,標茶町,6544,Shibecha
1,665,弟子屈町,6544,Teshikaga
1,667,鶴居村,6444,Tsurui
1,667,鶴居村,6544,Tsurui
1,668,白糠町,6443,Shiranuka
1,668,白糠町,6444,Shiranuka
1,668,白糠町,6543,Shiranuka
1,668,白糠町,6544,Shiranuka
1,691,別海町,6444,Betsukai
1,691,別海町,6445,Betsukai
1,691,別海町,6544,Betsukai
1,691,別海町,6545,Betsukai
1,692,中標津町,6544,Nakashibetsu
1,692,中標津町,6545,Nakashibetsu
1,693,標津町,6544,Shibetsu
1,693,標津町,6545,Shibetsu
1,694,羅臼町,6544,Rausu
1,694,羅臼町,6545,Rausu
1,694,羅臼町,6645,Rausu
1,695,色丹村,6546,Shikotan
1,696,泊村,6545,Tomari
1,696,泊村,6645,Tomari
1,697,留夜別村,6645,Ruyabetsu
1,697,留夜別村,6646,Ruyabetsu
1,698,留別村,6646,Rubetsu
1,698,留別村,6647,Rubetsu
1,698,留別村,6747,Rubetsu
1,699,紗那村,6747,Shanamura
1,699,紗那村,6748,Shanamura
1,699,紗那村,6847,Shanamura
1,699,紗那村,6848,Shanamura
1,700,蘂取村,6748,Shibetoro
1,700,蘂取村,6848,Shibetoro
2,201,青森市,6040,Aomori
2,201,青森市,6140,Aomori
2,202,弘前市,6040,Hirosaki
2,202,弘前市,6140,Hirosaki
2,203,八戸市,6041,Hachinohe
2,204,黒石市,6040,Kuroishi
2,204,黒石市,6140,Kuroishi
2,205,五所川原市,6140,Goshogawara
2,206,十和田市,6040,Towada
2,206,十和田市,6041,Towada
2,206,十和田市,6140,Towada
2,206,十和田市,6141,Towada
2,207,三沢市,6041,Misawa
2,207,三沢市,6141,Misawa
2,208,むつ市,6140,Mutsu
2,208,むつ市,6141,Mutsu
2,208,むつ市,6240,Mutsu
2,208,むつ市,6241,Mutsu
2,209,つがる市,6140,Tsugaru
2,210,平川市,6040,Hirakawa
2,301,平内町,6140,Hiranai
2,301,平内町,6141,Hiranai
2,303,今別町,6140,Imabetsu
2,304,蓬田村,6140,Yomogita
2,307,外ヶ浜町,6140,Sotogahama
2,321,鰺ヶ沢町,6040,Ajigasawa
2,321,鰺ヶ沢町,6140,Ajigasawa
2,323,深浦町,6039,Fukaura
2,323,深浦町,6040,Fukaura
2,323,深浦町,6139,Fukaura
2,323,深浦町,6140,Fukaura
2,343,西目屋村,6040,Nishimeyamu
2,361,藤崎町,6040,Fujisaki
2,361,藤崎町,6140,Fujisaki
2,362,大鰐町,6040,Owani
2,367,田舎館村,6040,Inakadate
2,367,田舎館村,6140,Inakadate
2,381,板柳町,6040,Itayanagi
2,381,板柳町,6140,Itayanagi
2,384,鶴田町,6140,Tsuruta
2,387,中泊町,6140,Nakadomari
2,401,野辺地町,6141,Noheji
2,402,七戸町,6041,Shichinohe
2,402,七戸町,6140,Shichinohe
2,402,七戸町,6141,Shichinohe
2,405,六戸町,6041,Rokunohe
2,405,六戸町,6141,Rokunohe
2,406,横浜町,6141,Yokohama
2,408,東北町,6041,Tohoku
2,408,東北町,6141,Tohoku
2,411,六ヶ所村,6141,Rokkasho
2,412,おいらせ町,6041,Oirase
2,412,おいらせ町,6141,Oirase
2,423,大間町,6240,Oma
2,424,東通村,6141,Higashidori
2,424,東通村,6241,Higashidori
2,425,風間浦村,6240,Kazamaura
2,425,風間浦村,6241,Kazamaura
2,426,佐井村,6140,Sai
2,426,佐井村,6240,Sai
2,441,三戸町,6040,Sannohe
2,441,三戸町,6041,Sannohe
2,442,五戸町,6041,Gonohe
2,443,田子町,6040,Takko
2,443,田子町,6041,Takko
2,445,南部町,6041,Nanbu
2,446,階上町,6041,Hashikami
2,450,新郷村,6040,Shingo
2,450,新郷村,6041,Shingo
3,201,盛岡市,5940,Morioka
3,201,盛岡市,5941,Morioka
3,202,宮古市,5941,Miyako
3,202,宮古市,5942,Miyako
3,203,大船渡市,5841,Ofunato
3,205,花巻市,5841,Hanamaki
3,205,花巻市,5940,Hanamaki
3,205,花巻市,5941,Hanamaki
3,206,北上市,5840,Kitakami
3,206,北上市,5841,Kitakami
3,206,北上市,5940,Kitakami
3,206,北上市,5941,Kitakami
3,207,久慈市,6041,Kuji
3,208,遠野市,5841,Tono
3,208,遠野市,5941,Tono
3,209,一関市,5840,Ichinoseki
3,209,一関市,5841,Ichinoseki
3,210,陸前高田市,5841,Rikuzentakata
3,211,釜石市,5841,Kamaishi
3,211,釜石市,5941,Kamaishi
3,213,二戸市,6041,Ninohe
3,214,八幡平市,5940,Hachimantai
3,214,八幡平市,5941,Hachimantai
3,214,八幡平市,6040,Hachimantai
3,214,八幡平市,6041,Hachimantai
3,215,奥州市,5840,Oshu
